Loan_ID,Book_ID,Book Title,Patron_ID,Patron First Name,Patron Last Name,Loan_Date,Due_Date,Return_Date,Fine
0,6,Harry Potter and the Prisoner of Azkaban,1,Chuckleberry,Gigglebottom,44634,44665,44695,30.00
1,8,Harry Potter and the Goblet of Fire,2,Quirk,Wobbleton,44654,44684,44684,0.00
2,45,Animal Farm,13,Bill,Nye,44638,44669,44670,1.00
3,44,The Wealth of Nations,2,Quirk,Wobbleton,44658,44688,44682,0.00
4,13,Harry Potter and the Deathly Hallows,9,Penelope,Prankster,44820,44850,44853,3.00
5,21,The Scarlet Letter,4,Jiggles,Quirkington,44787,44818,44834,16.00
6,22,The Handmaid's Tale,5,Bumble,Chuckleford,44573,44604,44626,22.00
7,38,Wuthering Heights,9,Penelope,Prankster,44606,44634,44632,0.00
8,7,Harry Potter and the Goblet of Fire,5,Bumble,Chuckleford,44852,44883,44886,3.00
9,10,Harry Potter and the Order of the Phoenix,4,Jiggles,Quirkington,44725,44755,44787,32.00
10,11,Harry Potter and the Order of the Phoenix,5,Bumble,Chuckleford,44665,44695,44718,23.00
11,14,Fahrenheit 451,4,Jiggles,Quirkington,44886,44916,44917,1.00
12,31,The Fountainhead,11,Gilda,Gigglesworth,44817,44847,44844,0.00
13,33,The Fountainhead,8,Harold,Hilarious,44688,44719,44720,1.00
14,1,Harry Potter and the Sorcerer's Stone,9,Penelope,Prankster,44639,44670,44661,0.00
15,4,Harry Potter and the Prisoner of Azkaban,10,Oliver,Oddball,44639,44670,44678,8.00
16,5,Harry Potter and the Prisoner of Azkaban,8,Harold,Hilarious,44748,44779,44786,7.00
17,2,Harry Potter and the Sorcerer's Stone,13,Bill,Nye,44614,44642,44641,0.00
18,9,Harry Potter and the Order of the Phoenix,13,Bill,Nye,44802,44833,44831,0.00
19,3,Harry Potter and the Chamber of Secrets,14,David,Attenborough,44689,44720,44722,2.00
20,12,Harry Potter and the Half-Blood Prince,10,Oliver,Oddball,44722,44752,44897,145.00
21,46,Pride and Prejudice,10,Oliver,Oddball,44758,44789,44792,3.00
22,52,The Boys in the Boat,8,Harold,Hilarious,44816,44846,44831,0.00
